Abdon Batista | Num, de Hab.: 2.085 | Gentílico: abdon-batistense
Abelardo Luz | Num, de Hab.: 16.078 | Gentílico: abelardense
Agrolândia | Num, de Hab.: 9.849 | Gentílico: agrolandense
Agronômica | Num, de Hab.: 4.301 | Gentílico: agronômico
Água Doce | Num, de Hab.: 6.165 | Gentílico: água-docense
Águas de Chapecó | Num, de Hab.: 9.180 | Gentílico: águas-chapecoense
Águas Frias | Num, de Hab.: 2.742 | Gentílico: águas-friense
Águas Mornas | Num, de Hab.: 6.418 | Gentílico: águas-mornense
Alfredo Wagner | Num, de Hab.: 8.538 | Gentílico: alfredo-wagnense
Alto Bela Vista | Num, de Hab.: 1.609 | Gentílico: alto-bela-vistense
Anchieta | Num, de Hab.: 4.545 | Gentílico: anchietense
Angelina | Num, de Hab.: 5.759 | Gentílico: angelinense
Anita Garibaldi | Num, de Hab.: 4.546 | Gentílico: anita-garibaldense
Anitápolis | Num, de Hab.: 3.939 | Gentílico: anitapolitano
Antônio Carlos | Num, de Hab.: 9.253 | Gentílico: antônio-carlense
Apiúna | Num, de Hab.: 9.883 | Gentílico: apiunense
Arabutã | Num, de Hab.: 4.544 | Gentílico: arabutanense
Araquari | Num, de Hab.: 32.786 | Gentílico: araquariense
Araranguá | Num, de Hab.: 68.228 | Gentílico: araranguaense
Armazém | Num, de Hab.: 4.466 | Gentílico: armazemense
Arroio Trinta | Num, de Hab.: 4.412 | Gentílico: arroio-trintense
Arvoredo | Num, de Hab.: 2.780 | Gentílico: arvoredense
Ascurra | Num, de Hab.: 7.719 | Gentílico: ascurrense
Atalanta | Num, de Hab.: 2.892 | Gentílico: atalantense
Aurora | Num, de Hab.: 9.606 | Gentílico: aurorense
Balneário Arroio do Silva | Num, de Hab.: 11.498 | Gentílico: balneário-arroio-silvense
Balneário Barra do Sul | Num, de Hab.: 12.256 | Gentílico: barra-sulense
Balneário Camboriú | Num, de Hab.: 148.085 | Gentílico: camboriuense
Balneário Gaivota | Num, de Hab.: 9.889 | Gentílico: gaivotense
Balneário Piçarras | Num, de Hab.: 22.789 | Gentílico: piçarrense
Balneário Rincão | Num, de Hab.: 13.483 | Gentílico: rincãoense
Bandeirante | Num, de Hab.: 4.939 | Gentílico: bandeirantense
Barra Bonita | Num, de Hab.: 2.975 | Gentílico: barra-bonitense
Barra Velha | Num, de Hab.: 30.221 | Gentílico: barra-velhense
Bela Vista do Toldo | Num, de Hab.: 5.346 | Gentílico: bela-vistense
Belmonte | Num, de Hab.: 2.783 | Gentílico: belmontense
Benedito Novo | Num, de Hab.: 11.366 | Gentílico: benedito-novense
Biguaçu | Num, de Hab.: 67.097 | Gentílico: biguaçuense
Blumenau | Num, de Hab.: 363.375 | Gentílico: blumenauense
Bocaina do Sul | Num, de Hab.: 7.591 | Gentílico: bocaina-sulense
Bom Jardim da Serra | Num, de Hab.: 5.691 | Gentílico: bom-jardinense
Bom Jesus | Num, de Hab.: 5.836 | Gentílico: bom-jesuense
Bom Jesus do Oeste | Num, de Hab.: 2.545 | Gentílico: bom-jesuense
Bom Retiro | Num, de Hab.: 6.809 | Gentílico: bom-retirense
Bombinhas | Num, de Hab.: 20.748 | Gentílico: bombinense
Botuverá | Num, de Hab.: 4.423 | Gentílico: botuveraense
Braço do Norte | Num, de Hab.: 33.227 | Gentílico: braçonortense
Braço do Trombudo | Num, de Hab.: 7.598 | Gentílico: braço-trombudense
Brunópolis | Num, de Hab.: 3.298 | Gentílico: brunopolitano
Brusque | Num, de Hab.: 131.264 | Gentílico: brusquense
Caçador | Num, de Hab.: 80.292 | Gentílico: caçadorense
Caibi | Num, de Hab.: 4.416 | Gentílico: caibiense
Calmon | Num, de Hab.: 3.510 | Gentílico: calmonense
Camboriú | Num, de Hab.: 82.383 | Gentílico: camboriuense
Campo Alegre | Num, de Hab.: 14.423 | Gentílico: campo-alegrense
Campo Belo do Sul | Num, de Hab.: 5.436 | Gentílico: campo-belense
Campo Erê | Num, de Hab.: 7.378 | Gentílico: campo-erense
Campos Novos | Num, de Hab.: 35.100 | Gentílico: campos-novense
Canelinha | Num, de Hab.: 15.402 | Gentílico: canelinhense
Canoinhas | Num, de Hab.: 54.347 | Gentílico: canoinhense
Capão Alto | Num, de Hab.: 3.945 | Gentílico: capão-altense
Capinzal | Num, de Hab.: 21.089 | Gentílico: capinzalense
Capivari de Baixo | Num, de Hab.: 23.760 | Gentílico: capivari-baixense
Catanduvas | Num, de Hab.: 12.214 | Gentílico: catanduvense
Caxambu do Sul | Num, de Hab.: 2.732 | Gentílico: caxambuense
Celso Ramos | Num, de Hab.: 5.862 | Gentílico: celso-ramense
Cerro Negro | Num, de Hab.: 2.924 | Gentílico: cerro-negrense
Chapadão do Lageado | Num, de Hab.: 3.285 | Gentílico: chapadão-lageadense
Chapecó | Num, de Hab.: 222.561 | Gentílico: chapecoense
Cocal do Sul | Num, de Hab.: 14.276 | Gentílico: cocalense
Concórdia | Num, de Hab.: 75.948 | Gentílico: concordiense
Cordilheira Alta | Num, de Hab.: 3.814 | Gentílico: cordilheirense
Coronel Freitas | Num, de Hab.: 6.503 | Gentílico: coronel-freitense
Coronel Martins | Num, de Hab.: 3.344 | Gentílico: coronel-martinsense
Correia Pinto | Num, de Hab.: 13.818 | Gentílico: correia-pintense
Corupá | Num, de Hab.: 15.684 | Gentílico: corupaense
Criciúma | Num, de Hab.: 217.047 | Gentílico: criciumense
Cunha Porã | Num, de Hab.: 11.285 | Gentílico: cunha-poraense
Cunhataí | Num, de Hab.: 2.978 | Gentílico: cunhataiense
Curitibanos | Num, de Hab.: 42.685 | Gentílico: curitibanense
